YearMonth,PracticeCode,NumberOfPatients
202311,P82003,15437
202311,P82004,9571
202311,P82005,7050
202311,P82006,8674
202311,P82007,13513
202311,P82008,14572
202311,P82009,7027
202311,P82010,8123
202311,P82011,6809
202311,P82012,5902
202311,P82013,3684
202311,P82014,6539
202311,P82015,20656
202311,P82016,11821
202311,P82018,7163
202311,P82020,4554
202311,P82021,7131
202311,P82022,4892
202311,P82023,9032
202311,P82025,4754
202311,P82029,3604
202311,P82030,3945
202311,P82031,10770
202311,P82033,2041
202311,P82034,3705
202311,P82036,2935
202311,P82037,4680
202311,P82607,5728
202311,P82609,6131
202311,P82613,5124
202311,P82616,4024
202311,P82624,3609
202311,P82625,2369
202311,P82626,4993
202311,P82627,3983
202311,P82629,2061
202311,P82633,2492
202311,P82634,4230
202311,P82640,4973
202311,P82643,7245
202311,P82652,4160
202311,P82660,3570
202311,P83001,13502
202311,P83004,7823
202311,P83005,4701
202311,P83006,8357
202311,P83007,10522
202311,P83009,7824
202311,P83010,3709
202311,P83011,7236
202311,P83012,48635
202311,P83015,7281
202311,P83017,6038
202311,P83021,10163
202311,P83024,4371
202311,P83025,8900
202311,P83027,1873
202311,P83603,9646
202311,P83605,7718
202311,P83608,6069
202311,P83609,3808
202311,P83611,4210
202311,P83612,5183
202311,P83620,4871
202311,P83621,3396
202311,P83623,5120
202311,P84004,9003
202311,P84005,14356
202311,P84009,11778
202311,P84010,10552
202311,P84012,8723
202311,P84014,5397
202311,P84016,8810
202311,P84017,12541
202311,P84018,5017
202311,P84019,10742
202311,P84020,9675
202311,P84021,9260
202311,P84022,6309
202311,P84023,9294
202311,P84024,8235
202311,P84025,7749
202311,P84026,8988
202311,P84027,7741
202311,P84028,9728
202311,P84029,10459
202311,P84030,13749
202311,P84032,6121
202311,P84033,4419
202311,P84034,15896
202311,P84035,16919
202311,P84037,6662
202311,P84038,12985
202311,P84039,8707
202311,P84040,7434
202311,P84041,7855
202311,P84042,11529
202311,P84043,9623
202311,P84045,5217
202311,P84046,12613
202311,P84047,5695
202311,P84048,6807
202311,P84049,11052
202311,P84050,8277
202311,P84051,5656
202311,P84052,7434
202311,P84053,8072
202311,P84054,6756
202311,P84056,4792
202311,P84059,8028
202311,P84061,6183
202311,P84064,10397
202311,P84065,4563
202311,P84066,7690
202311,P84067,7590
202311,P84068,22723
202311,P84070,8324
202311,P84071,4936
202311,P84072,32816
202311,P84074,11205
202311,P84605,1981
202311,P84611,7976
202311,P84626,5925
202311,P84630,21475
202311,P84635,5042
202311,P84637,2783
202311,P84639,4018
202311,P84640,6364
202311,P84644,6890
202311,P84645,6521
202311,P84650,6538
202311,P84651,5455
202311,P84663,5430
202311,P84665,3602
202311,P84669,16110
202311,P84672,3604
202311,P84673,12776
202311,P84678,16897
202311,P84679,2081
202311,P84683,11824
202311,P84684,5883
202311,P84689,13367
202311,P84690,2921
202311,P85002,6409
202311,P85003,6208
202311,P85004,5610
202311,P85005,9435
202311,P85007,3390
202311,P85010,14084
202311,P85011,12070
202311,P85012,5545
202311,P85013,21902
202311,P85014,6091
202311,P85015,7646
202311,P85016,13997
202311,P85017,9210
202311,P85018,4489
202311,P85019,6178
202311,P85020,7877
202311,P85021,10668
202311,P85022,4820
202311,P85026,16251
202311,P85028,92
202311,P85601,2955
202311,P85605,7412
202311,P85606,6092
202311,P85608,2568
202311,P85610,7353
202311,P85612,3697
202311,P85614,3649
202311,P85615,12077
202311,P85622,11281
202311,P86001,7570
202311,P86002,1550
202311,P86003,11302
202311,P86004,8849
202311,P86005,6251
202311,P86006,16254
202311,P86007,13393
202311,P86008,9934
202311,P86009,10060
202311,P86010,8595
202311,P86011,8719
202311,P86012,8994
202311,P86013,6308
202311,P86014,8233
202311,P86015,5046
202311,P86016,8809
202311,P86017,4648
202311,P86018,8657
202311,P86019,9787
202311,P86021,3556
202311,P86022,8814
202311,P86023,8862
202311,P86026,7637
202311,P86602,3344
202311,P86606,4866
202311,P86608,4423
202311,P86609,2457
202311,P86614,4867
202311,P86619,6596
202311,P86620,2773
202311,P86624,4183
202311,P87002,11558
202311,P87004,12413
202311,P87008,8735
202311,P87015,6047
202311,P87016,13606
202311,P87017,5019
202311,P87019,12822
202311,P87020,15814
202311,P87022,2066
202311,P87024,11269
202311,P87025,10038
202311,P87026,12743
202311,P87027,19232
202311,P87028,9255
202311,P87032,5804
202311,P87035,11109
202311,P87040,8800
202311,P87610,13113
202311,P87613,4466
202311,P87618,41
202311,P87620,9395
202311,P87624,5059
202311,P87625,2659
202311,P87627,3360
202311,P87630,3094
202311,P87634,10196
202311,P87639,4180
202311,P87648,6495
202311,P87649,6397
202311,P87651,5536
202311,P87654,11581
202311,P87657,3580
202311,P87658,3650
202311,P87661,2288
202311,P88002,6281
202311,P88003,9411
202311,P88005,11556
202311,P88006,11065
202311,P88007,14155
202311,P88008,8309
202311,P88009,3300
202311,P88011,10583
202311,P88012,7855
202311,P88013,12701
202311,P88014,4810
202311,P88015,12122
202311,P88016,13867
202311,P88017,6696
202311,P88018,10158
202311,P88019,5984
202311,P88020,11461
202311,P88021,6911
202311,P88023,7139
202311,P88024,10131
202311,P88025,10793
202311,P88026,52455
202311,P88031,5667
202311,P88041,7957
202311,P88042,6826
202311,P88043,9471
202311,P88044,4599
202311,P88606,5827
202311,P88615,3265
202311,P88623,7020
202311,P88625,7920
202311,P88632,18081
202311,P89002,17780
202311,P89003,9818
202311,P89004,6511
202311,P89005,8305
202311,P89006,11757
202311,P89007,7051
202311,P89008,17545
202311,P89010,7700
202311,P89011,4861
202311,P89012,7003
202311,P89013,5235
202311,P89014,12654
202311,P89015,20235
202311,P89016,8223
202311,P89018,8608
202311,P89020,7899
202311,P89021,10908
202311,P89022,3486
202311,P89023,5480
202311,P89025,3052
202311,P89026,6478
202311,P89029,6242
202311,P89030,3896
202311,P89602,3932
202311,P89609,5420
202311,P89612,2241
202311,P89613,3448
202311,P89618,2642
202311,P91003,7939
202311,P91004,8384
202311,P91006,13319
202311,P91007,6571
202311,P91008,6095
202311,P91009,11132
202311,P91011,5777
202311,P91012,7421
202311,P91013,11549
202311,P91014,16390
202311,P91016,9483
202311,P91017,9012
202311,P91018,14819
202311,P91019,3643
202311,P91020,9793
202311,P91021,15100
202311,P91026,6022
202311,P91029,11564
202311,P91035,13158
202311,P91603,6915
202311,P91604,17169
202311,P91617,2648
202311,P91623,7358
202311,P91627,8587
202311,P91629,15224
202311,P91631,3399
202311,P91633,34
202311,P92001,5657
202311,P92002,5170
202311,P92003,9448
202311,P92004,7744
202311,P92005,4202
202311,P92006,6159
202311,P92007,6649
202311,P92008,8763
202311,P92010,12108
202311,P92011,7955
202311,P92012,4465
202311,P92014,13442
202311,P92015,5852
202311,P92016,18530
202311,P92017,13012
202311,P92019,10435
202311,P92020,4886
202311,P92021,5955
202311,P92023,9106
202311,P92024,4896
202311,P92026,7604
202311,P92028,4834
202311,P92029,4600
202311,P92030,4582
202311,P92031,4176
202311,P92033,4764
202311,P92034,5629
202311,P92038,3183
202311,P92041,8494
202311,P92042,9396
202311,P92602,2476
202311,P92605,7509
202311,P92607,8043
202311,P92615,4884
202311,P92620,7740
202311,P92621,4016
202311,P92626,5838
202311,P92630,2731
202311,P92633,3105
202311,P92634,4692
202311,P92635,2104
202311,P92637,3941
202311,P92639,3026
202311,P92642,5375
202311,P92646,3519
202311,P92647,3097
202311,P92648,5046
202311,P92651,5260
202311,P92653,3352
202311,Y00020,8956
202311,Y00026,2338
202311,Y00033,6596
202311,Y00049,243
202311,Y00050,6894
202311,Y00054,128
202311,Y00056,749
202311,Y00057,14980
202311,Y00060,601
202311,Y00078,4920
202311,Y00080,7101
202311,Y00081,31
202311,Y00090,8341
202311,Y00137,32394
202311,Y00140,2151
202311,Y00155,10771
202311,Y00159,30734
202311,Y00182,1382
202311,Y00184,9403
202311,Y00185,11563
202311,Y00186,1746
202311,Y00200,4610
202311,Y00206,10474
202311,Y00228,2434
202311,Y00230,1
202311,Y00252,3118
202311,Y00265,14762
202311,Y00278,3397
202311,Y00286,3340
202311,Y00293,9313
202311,Y00297,4853
202311,Y00312,4744
202311,Y00316,5131
202311,Y00328,3240
202311,Y00344,1958
202311,Y00347,5420
202311,Y00351,12300
202311,Y00352,21684
202311,Y00361,38
202311,Y00399,3962
202311,Y00403,8036
202311,Y00411,11553
202311,Y00412,5773
202311,Y00437,10586
202311,Y00445,20412
202311,Y00446,3107
202311,Y00469,11811
202311,Y00471,6699
202311,Y00475,5139
202311,Y00486,7486
202311,Y00492,8912
202311,Y00507,2717
202311,Y00522,8534
202311,Y00560,15636
202311,Y00568,4205
202311,Y00612,5011
202311,Y00726,5515
202311,Y00758,2517
202311,Y00774,5264
202311,Y00902,3509
202311,Y00912,1768
202311,Y00918,6695
202311,Y00969,11891
202311,Y00996,4424
202311,Y00999,11856
202311,Y01008,54647
202311,Y01011,11595
202311,Y01050,7416
202311,Y01051,9438
202311,Y01057,1263
202311,Y01066,10351
202311,Y01068,4753
202311,Y01090,7648
202311,Y01108,3659
202311,Y01118,3376
202311,Y01124,4113
202311,Y01127,6222
202311,Y01132,13920
202311,Y01163,4081
202311,Y01206,10544
202311,Y01221,3356
202311,Y01262,22
202311,Y01280,2363
202311,Y01281,4514
202311,Y01291,9965
202311,Y01652,6197
202311,Y01655,10413
202311,Y01690,6375
202311,Y01695,4074
202311,Y01719,8698
202311,Y01756,5950
202311,Y01794,15019
202311,Y01795,6660
202311,Y01812,10887
202311,Y01839,6854
202311,Y01845,14
202311,Y01922,11875
202311,Y01924,103
202311,Y01929,52277
202311,Y01948,2351
202311,Y01964,27827
202311,Y02002,18486
202311,Y02045,4
202311,Y02117,15816
202311,Y02177,6462
202311,Y02212,2768
202311,Y02274,3811
202311,Y02319,7335
202311,Y02321,5536
202311,Y02322,8698
202311,Y02325,5345
202311,Y02332,12052
202311,Y02342,9595
202311,Y02354,9454
202311,Y02378,6176
202311,Y02414,3093
202311,Y02423,42158
202311,Y02442,4891
202311,Y02463,13195
202311,Y02466,11811
202311,Y02469,10172
202311,Y02476,13570
202311,Y02494,7466
202311,Y02510,6562
202311,Y02517,16491
202311,Y02519,9819
202311,Y02520,5662
202311,Y02521,10498
202311,Y02526,88
202311,Y02567,6222
202311,Y02571,7739
202311,Y02572,2873
202311,Y02575,22035
202311,Y02578,12111
202311,Y02586,4517
202311,Y02589,9914
202311,Y02594,2829
202311,Y02605,3489
202311,Y02606,5795
202311,Y02611,14095
202311,Y02622,14966
202311,Y02625,1220
202311,Y02626,4791
202311,Y02627,12260
202311,Y02633,5787
202311,Y02636,6669
202311,Y02639,9694
202311,Y02645,13
202311,Y02646,11268
202311,Y02653,4128
202311,Y02657,8063
202311,Y02663,4435
202311,Y02669,4657
202311,Y02671,18158
202311,Y02672,12439
202311,Y02674,631
202311,Y02676,9818
202311,Y02684,3703
202311,Y02686,7457
202311,Y02692,17979
202311,Y02701,9385
202311,Y02707,6699
202311,Y02713,4905
202311,Y02718,3963
202311,Y02720,3890
202311,Y02721,4309
202311,Y02736,6697
202311,Y02747,17770
202311,Y02751,10953
202311,Y02753,5384
202311,Y02755,9727
202311,Y02757,13206
202311,Y02767,6200
202311,Y02769,7362
202311,Y02787,7346
202311,Y02790,7149
202311,Y02794,12308
202311,Y02795,4723
202311,Y02807,12116
202311,Y02811,12935
202311,Y02827,4967
202311,Y02842,7360
202311,Y02847,8551
202311,Y02849,14661
202311,Y02867,4275
202311,Y02873,47
202311,Y02875,3478
202311,Y02885,3706
202311,Y02886,4136
202311,Y02890,6229
202311,Y02893,18986
202311,Y02900,22031
202311,Y02906,10716
202311,Y02928,22845
202311,Y02933,7921
202311,Y02936,3598
202311,Y02946,8525
202311,Y02960,6410
202311,Y02962,4736
202311,Y02973,8779
202311,Y02974,12786
202311,Y02986,4970
202311,Y02987,32212
202311,Y03023,16022
202311,Y03035,21828
202311,Y03049,16022
202311,Y03052,14271
202311,Y03063,8161
202311,Y03079,15024
202311,Y03103,279
202311,Y03124,5993
202311,Y03135,9250
202311,Y03222,6410
202311,Y03296,902
202311,Y03303,26
202311,Y03366,5445
202311,Y03402,20054
202311,Y03441,9741
202311,Y03528,4
202311,Y03584,84
202311,Y03595,6821
202311,Y03597,6854
202311,Y03602,5886
202311,Y03663,9191
202311,Y03664,8785
202311,Y03671,10546
202311,Y03755,12863
202311,Y04225,1176
202311,Y04266,4089
202311,Y04273,20219
202311,Y04543,31
202311,Y04662,5005
202311,Y04664,4517
202311,Y04809,2355
202311,Y04882,3097
202311,Y04884,3343
202311,Y04925,7621
202311,Y04957,32448
202311,Y04965,22723
202311,Y04968,5421
202311,Y04969,4870
202311,Y04977,5462
202311,Y04995,19085
202311,Y05023,4703
202311,Y05080,3071
202311,Y05167,12622
202311,Y05212,5617
202311,Y05248,3226
202311,Y05286,16797
202311,Y05291,3995
202311,Y05317,7034
202311,Y05318,5875
202311,Y05330,4945
202311,Y05346,3523
202311,Y05349,5284
202311,Y05363,3080
202311,Y05364,3345
202311,Y05369,6340
202311,Y05412,45
202311,Y05622,4998
202311,Y05690,7055
202311,Y05733,7174
202311,Y05750,116
202311,Y05788,279
202311,Y05826,6242
202311,Y05857,140
202311,Y06007,8312
202311,Y06095,13
202311,Y06113,434
202311,Y06218,9404
202311,Y06275,6235
202311,Y06345,1358
202311,Y06356,10273
202311,Y06378,6201
202311,Y06389,596
202311,Y06443,12882
202311,Y06499,334
202311,Y06545,151
202311,Y06592,181
202311,Y06659,3499
202311,Y06792,7004
202311,Y06810,13576
202311,Y07014,13598
202311,Y07016,13
202311,Y07020,542
202311,Y07025,8779
202311,Y07057,12168
202311,Y07059,19192
202311,Y07060,25684
202311,Y07274,1662
202311,Y07275,2937
202311,Y07377,215
202311,Y07697,77
202312,A81001,3896
202312,A81002,18509
202312,A81004,11293
202312,A81005,7939
202312,A81006,14378
202312,A81007,10083
202312,A81009,8515
202312,A81011,11589
202312,A81012,5450
202312,A81013,7321
202312,A81014,4138
202312,A81016,12015
202312,A81017,18660
202312,A81018,10205
202312,A81019,8921
202312,A81020,7953
202312,A81021,22720
202312,A81022,9493
202312,A81023,9237
202312,A81025,4278
202312,A81026,20686
202312,A81027,14986
202312,A81029,7430
202312,A81030,15958
202312,A81031,13521
202312,A81032,11318
202312,A81034,21133
202312,A81035,10021
202312,A81036,16812
202312,A81037,7018
202312,A81038,3852
202312,A81039,11854
202312,A81040,8553
202312,A81041,9456
202312,A81042,14926
202312,A81044,18924
202312,A81045,6068
202312,A81046,12185
202312,A81048,7020
202312,A81049,6519
202312,A81051,7286
202312,A81052,9991
202312,A81053,5975
202312,A81054,8607
202312,A81056,2462
202312,A81057,9464
202312,A81058,9360
202312,A81060,6092
202312,A81063,5438
202312,A81064,8851
202312,A81065,3797
202312,A81066,5229
202312,A81067,11360
202312,A81070,6405
202312,A81602,2283
202312,A81608,10548
202312,A81610,8007
202312,A81611,8655
202312,A81612,3859
202312,A81618,10178
202312,A81621,2737
202312,A81622,5856
202312,A81629,6575
202312,A81631,7334
202312,A81634,3017
202312,A82003,11806
202312,A82004,2226
202312,A82005,5968
202312,A82006,5079
202312,A82007,11275
202312,A82008,11929
202312,A82009,9364
202312,A82010,6783
202312,A82012,16864
202312,A82013,6669
202312,A82014,4374
202312,A82015,5852
202312,A82016,38123
202312,A82018,13285
202312,A82019,7931
202312,A82020,16520
202312,A82021,18171
202312,A82022,5088
202312,A82023,5982
202312,A82024,5903
202312,A82025,11260
202312,A82026,17535
202312,A82027,9926
202312,A82028,8338
202312,A82029,3531
202312,A82030,6562
202312,A82031,3260
202312,A82032,13708
202312,A82033,7968
202312,A82035,14538
202312,A82036,11045
202312,A82037,4320
202312,A82038,4797
202312,A82039,8829
202312,A82041,14079
202312,A82044,23629
202312,A82045,8933
202312,A82046,4942
202312,A82047,32890
202312,A82053,7573
202312,A82055,6995
202312,A82062,5949
202312,A82064,5827
202312,A82068,4594
202312,A82070,6638
202312,A82071,4183
202312,A82072,7504
202312,A82075,7303
202312,A82077,138
202312,A82608,4659
202312,A82613,1077
202312,A82617,2720
202312,A82620,937
202312,A82629,2975
202312,A82631,3729
202312,A82646,3732
202312,A82647,3140
202312,A82650,2906
202312,A82651,4860
202312,A82654,7730
202312,A83001,15174
202312,A83003,9154
202312,A83005,12116
202312,A83006,8594
202312,A83007,9983
202312,A83008,5217
202312,A83009,7989
202312,A83010,13412
202312,A83011,34415
202312,A83012,15807
202312,A83013,13232
202312,A83014,6222
202312,A83015,9855
202312,A83016,10895
202312,A83018,17144
202312,A83020,13539
202312,A83021,15409
202312,A83022,26796
202312,A83023,12263
202312,A83024,5438
202312,A83025,13449
202312,A83026,10693
202312,A83027,7294
202312,A83028,9393
202312,A83029,5349
202312,A83030,14266
202312,A83031,11409
202312,A83032,2566
202312,A83033,9634
202312,A83034,11006
202312,A83035,7146
202312,A83036,10665
202312,A83037,13367
202312,A83038,5976
202312,A83040,12162
202312,A83041,7268
202312,A83043,2670
202312,A83044,8092
202312,A83045,14898
202312,A83046,10829
202312,A83047,14900
202312,A83048,6132
202312,A83049,15670
202312,A83050,12770
202312,A83051,11183
202312,A83052,8691
202312,A83054,16624
202312,A83055,4928
202312,A83057,18206
202312,A83060,2952
202312,A83061,3591
202312,A83066,12079
202312,A83070,5784
202312,A83071,4647
202312,A83072,4142
202312,A83073,5242
202312,A83074,12186
202312,A83075,8400
202312,A83610,3431
202312,A83616,8187
202312,A83617,2603
202312,A83618,7615
202312,A83619,3551
202312,A83622,1726
202312,A83626,2193
202312,A83627,6457
202312,A83634,2792
202312,A83635,4282
202312,A83636,6025
202312,A83637,4208
202312,A83641,4793
202312,A83644,3547
202312,A84002,6075
202312,A84005,12400
202312,A84006,18937
202312,A84007,10850
202312,A84008,4493
202312,A84009,27098
202312,A84011,8340
202312,A84013,6308
202312,A84014,13148
202312,A84016,6938
202312,A84018,7227
202312,A84020,7995
202312,A84022,11972
202312,A84024,10311
202312,A84025,5181
202312,A84026,8880
202312,A84027,3425
202312,A84028,19170
202312,A84029,4519
202312,A84030,10388
202312,A84031,10404
202312,A84033,5772
202312,A84034,5544
202312,A84035,5962
202312,A84036,51228
202312,A84037,5991
202312,A84038,8189
202312,A84039,6674
202312,A84040,3514
202312,A84042,2059
202312,A84044,7189
202312,A84045,5317
202312,A84047,5342
202312,A84604,4811
202312,A84614,2053
202312,A84619,4120
202312,A85001,7652
202312,A85002,3932
202312,A85004,10457
202312,A85005,17344
202312,A85006,9063
202312,A85007,8473
202312,A85008,15432
202312,A85009,6323
202312,A85010,11338
202312,A85011,7521
202312,A85013,4069
202312,A85014,20386
202312,A85016,11821
202312,A85017,7752
202312,A85018,4769
202312,A85019,10620
202312,A85020,15738
202312,A85021,4653
202312,A85023,5571
202312,A85024,2528
202312,A85026,5480
202312,A85611,5460
202312,A85614,7661
202312,A85616,4673
202312,A85617,3752
202312,A86003,42190
202312,A86004,15396
202312,A86005,6049
202312,A86006,5709
202312,A86008,13233
202312,A86010,10506
202312,A86011,10827
202312,A86012,11562
202312,A86013,7274
202312,A86016,9674
202312,A86017,11241
202312,A86018,13100
202312,A86020,16471
202312,A86021,9957
202312,A86022,8502
202312,A86023,9713
202312,A86024,7593
202312,A86025,14067
202312,A86026,7131
202312,A86027,20803
202312,A86028,7446
202312,A86029,20518
202312,A86030,11099
202312,A86031,10615
202312,A86033,7622
202312,A86036,10983
202312,A86037,7685
202312,A86038,6011
202312,A86040,6595
202312,A86041,6705
202312,A86601,8809
202312,A87002,5709
202312,A87004,24487
202312,A87005,13037
202312,A87006,5921
202312,A87007,18246
202312,A87008,8556
202312,A87009,15649
202312,A87011,6592
202312,A87012,7539
202312,A87013,9287
202312,A87016,12519
202312,A87017,6277
202312,A87019,5033
202312,A87020,8624
202312,A87022,9444
202312,A87023,4801
202312,A87029,20468
202312,A87030,6018
202312,A87600,4894
202312,A87612,6341
202312,A87615,5254
202312,A88001,3631
202312,A88002,17148
202312,A88003,14555
202312,A88004,9216
202312,A88005,4508
202312,A88006,7946
202312,A88007,8071
202312,A88008,6463
202312,A88009,6091
202312,A88010,3171
202312,A88012,6202
202312,A88013,19135
202312,A88014,2843
202312,A88015,7276
202312,A88016,8369
202312,A88022,11045
202312,A88023,5360
202312,A88025,4576
202312,A88601,4081
202312,A88608,5911
202312,A88613,4195
202312,A89001,13436
202312,A89002,7213
202312,A89004,11765
202312,A89005,5543
202312,A89006,8336
202312,A89007,10357
202312,A89008,5380
202312,A89009,9333
202312,A89010,12356
202312,A89011,4691
202312,A89012,11173
202312,A89013,5530
202312,A89015,9228
202312,A89016,9254
202312,A89017,14609
202312,A89018,5270
202312,A89019,15018
202312,A89020,8877
202312,A89021,8452
202312,A89022,5193
202312,A89023,8139
202312,A89024,7181
202312,A89025,10350
202312,A89026,7349
202312,A89027,6392
202312,A89028,7357
202312,A89030,6540
202312,A89031,6334
202312,A89032,9279
202312,A89034,4417
202312,A89035,9873
202312,A89036,2160
202312,A89040,4626
202312,A89041,8196
202312,A89614,4587
202312,A89616,2607
202312,A89617,3745
202312,A89623,2961
202312,B81003,12789
202312,B81004,12432
202312,B81005,16939
202312,B81006,14676
202312,B81007,9756
202312,B81008,29983
202312,B81009,9283
202312,B81011,10116
202312,B81012,3275
202312,B81013,8666
202312,B81015,16602
202312,B81016,10158
202312,B81017,17798
202312,B81018,9266
202312,B81020,7859
202312,B81022,13022
202312,B81024,10023
202312,B81025,34134
202312,B81026,20227
202312,B81027,8134
202312,B81029,11568
202312,B81030,24255
202312,B81031,21382
202312,B81032,5204
202312,B81034,11393
202312,B81035,7105
202312,B81036,18400
202312,B81037,14632
202312,B81038,8037
202312,B81039,34344
202312,B81040,15179
202312,B81041,6237
202312,B81042,13548
202312,B81043,14904
202312,B81045,12475
202312,B81046,8662
202312,B81047,7605
202312,B81048,56764
202312,B81051,10279
202312,B81052,7697
202312,B81054,8187
202312,B81058,7839
202312,B81061,46221
202312,B81063,7164
202312,B81064,9979
202312,B81065,11190
202312,B81068,17539
202312,B81069,26738
202312,B81074,13132
202312,B81075,3463
202312,B81082,6514
202312,B81085,5347
202312,B81087,8099
202312,B81088,7991
202312,B81090,4566
202312,B81091,5405
202312,B81092,11924
202312,B81097,2762
202312,B81099,10565
202312,B81100,3984
202312,B81101,23045
202312,B81104,8364
202312,B81108,4584
202312,B81109,12146
202312,B81112,12842
202312,B81113,9043
202312,B81118,7890
202312,B81119,6511
202312,B81606,4363
202312,B81616,2813
202312,B81617,9526
202312,B81619,2958
202312,B81628,2891
202312,B81631,4666
202312,B81635,3494
202312,B81642,4305
202312,B81645,3023
202312,B81647,3140
202312,B81648,1581
202312,B81653,7462
202312,B81655,3149
202312,B81656,6736
202312,B81663,2767
202312,B81665,2329
202312,B81666,2267
202312,B81675,14099
202312,B81697,2790
202312,B82002,7549
202312,B82004,10865
202312,B82005,58537
202312,B82007,9597
202312,B82008,8689
202312,B82010,8051
202312,B82011,5588
202312,B82012,14918
202312,B82013,20017
202312,B82014,6804
202312,B82016,8308
202312,B82017,13556
202312,B82018,6394
202312,B82019,3929
202312,B82021,9609
202312,B82022,5675
202312,B82023,6288
202312,B82024,9230
202312,B82025,21116
202312,B82026,33112
202312,B82027,14304
202312,B82029,3242
202312,B82030,5895
202312,B82031,10857
202312,B82032,11994
202312,B82033,10988
202312,B82034,6304
202312,B82035,3604
202312,B82036,7639
202312,B82037,8917
202312,B82038,25713
202312,B82041,16099
202312,B82042,8604
202312,B82044,9324
202312,B82045,4184
202312,B82046,3134
202312,B82047,21339
202312,B82049,7709
202312,B82050,21239
202312,B82053,14598
202312,B82054,15345
202312,B82057,7185
202312,B82059,10967
202312,B82060,12833
202312,B82061,7418
202312,B82063,9440
202312,B82064,3528
202312,B82066,9739
202312,B82067,8050
202312,B82068,3638
202312,B82069,7463
202312,B82071,7519
202312,B82072,5234
202312,B82073,10637
202312,B82074,18565
202312,B82075,9698
202312,B82077,6027
202312,B82078,6105
202312,B82079,3716
202312,B82080,18910
202312,B82081,7271
202312,B82083,44956
202312,B82086,5072
202312,B82088,10693
202312,B82091,7855
202312,B82097,11315
202312,B82098,24993
202312,B82100,8112
202312,B82101,5196
202312,B82104,8043
202312,B82105,9337
202312,B82106,4471
202312,B82609,4038
202312,B82619,1645
202312,B82622,1524
202312,B82628,4107
202312,B83002,5376
202312,B83005,7081
202312,B83008,19879
202312,B83009,15674
202312,B83010,9998
202312,B83012,10933
202312,B83014,13479
202312,B83015,8529
202312,B83016,8484
202312,B83018,12455
202312,B83019,6940
202312,B83020,18265
202312,B83022,9501
202312,B83025,4466
202312,B83026,5704
202312,B83028,10917
202312,B83029,10172
202312,B83031,3913
202312,B83032,3972
202312,B83033,86782
202312,B83034,7094
202312,B83035,10728
202312,B83037,10091
202312,B83038,18732
202312,B83039,24097
202312,B83041,14695
202312,B83042,8432
202312,B83045,12884
202312,B83051,11503
202312,B83052,24623
202312,B83054,6273
202312,B83055,32089
202312,B83056,8204
202312,B83058,8702
202312,B83062,8752
202312,B83063,20295
202312,B83064,11227
202312,B83067,7710
202312,B83604,4181
202312,B83611,11128
202312,B83614,9716
202312,B83620,3409
202312,B83621,4395
202312,B83622,4339
202312,B83624,17419
202312,B83626,6517
202312,B83627,3748
202312,B83628,9626
202312,B83629,3150
202312,B83641,8775
202312,B83642,4150
202312,B83653,7857
202312,B83657,5705
202312,B83659,3682
202312,B83660,6131
202312,B83661,2985
202312,B84001,10224
202312,B84003,8043
202312,B84004,18502
202312,B84006,13260
202312,B84007,10562
202312,B84008,15791
202312,B84009,11501
202312,B84010,10590
202312,B84011,11294
202312,B84012,29068
202312,B84013,8973
202312,B84014,5108
202312,B84016,11014
202312,B84019,16335
202312,B84021,8869
202312,B84612,8958
202312,B84613,9738
202312,B84618,8777
202312,B84623,4780
202312,B85001,7033
202312,B85002,4481
202312,B85004,5960
202312,B85005,6745
202312,B85006,15159
202312,B85008,6092
202312,B85009,8640
202312,B85010,6715
202312,B85012,10856
202312,B85014,9527
202312,B85015,8856
202312,B85016,10270
202312,B85018,9171
202312,B85019,17297
202312,B85020,6757
202312,B85021,9108
202312,B85022,7852
202312,B85023,6361
202312,B85024,9643
202312,B85025,12202
202312,B85026,8063
202312,B85027,10650
202312,B85028,16224
202312,B85030,9023
202312,B85031,6818
202312,B85032,6115
202312,B85033,5423
202312,B85036,8044
202312,B85037,5908
202312,B85038,5833
202312,B85041,15714
202312,B85042,8818
202312,B85044,2997
202312,B85048,4206
202312,B85051,7820
202312,B85054,9891
202312,B85055,12108
202312,B85058,2974
202312,B85059,7787
202312,B85060,2464
202312,B85061,9403
202312,B85062,15510
202312,B85606,4677
202312,B85610,10627
202312,B85611,3832
202312,B85612,4198
202312,B85614,6860
202312,B85619,3042
202312,B85620,2522
202312,B85623,3386
202312,B85634,3599
202312,B85636,4195
202312,B85640,3341
202312,B85641,4521
202312,B85645,2504
202312,B85646,6203
202312,B85650,4803
202312,B85652,7661
202312,B85655,2614
202312,B85659,1984
202312,B85660,6517
202312,B86002,15378
202312,B86003,17230
202312,B86004,8335
202312,B86005,5645
202312,B86006,15188
202312,B86007,8976
202312,B86008,19560
202312,B86009,8257
202312,B86010,9875
202312,B86011,9975
202312,B86012,19147
202312,B86013,20648
202312,B86014,13330
202312,B86015,14115
202312,B86016,18100
202312,B86017,16493
202312,B86018,7735
202312,B86019,19598
202312,B86020,11191
202312,B86022,14196
202312,B86024,9067
202312,B86025,11182
202312,B86028,5232
202312,B86029,5686
202312,B86030,11619
202312,B86032,18860
202312,B86033,11893
202312,B86034,6729
202312,B86035,9389
202312,B86036,11359
202312,B86038,11521
202312,B86039,9781
202312,B86041,7859
202312,B86042,15308
202312,B86043,9545
202312,B86044,27753
202312,B86048,14318
202312,B86049,10179
